Detector,AUROC,AUPR-IN,AUPR-OUT,ACC95TPR,FPR95TPR
OpenMax,62.23,59.02,66.09,54.07,82.29
MaxSoftmax,79.10,73.75,82.92,66.57,58.16
KLMatching,80.14,75.27,82.48,65.05,60.73
ODIN,81.46,76.67,84.88,67.74,55.55
Mahalanobis,83.91,79.86,86.08,72.88,47.03
MaxLogit,84.64,79.95,87.11,71.41,48.51
EnergyBased,84.90,80.27,87.32,71.74,47.84
ViM,85.86,81.18,88.81,75.54,41.82
